370,746,140
73,107,111
528,798,428
682,556,291
189,162,103
563,486,48
684,642,84
636,525,141
749,501,13
706,259,438
173,364,44
330,671,388
552,793,759
50,501,29
300,399,151
240,600,19
245,227,390
791,584,400
233,196,84
760,151,556
219,160,561
517,432,458
274,455,496
704,315,764
67,455,16
172,798,773
320,146,561
66,373,714
577,790,462
200,581,437
185,279,740
290,715,622
406,241,690
262,501,716
791,67,220
135,294,502
445,417,411
345,351,740
34,613,641
96,213,257
728,226,770
278,694,432
556,405,576
766,160,753
125,358,397
299,410,683
668,105,96
156,192,475
734,640,249
94,160,467
73,436,489
717,617,323
205,454,467
535,99,683
481,186,25
781,624,755
619,197,615
769,580,400
788,247,114
204,490,110
755,162,96
140,498,787
39,227,496
492,100,743
783,159,647
780,359,492
430,67,536
136,203,206
104,469,502
368,430,659
492,738,681
525,169,751
158,250,492
109,729,285
656,418,616
513,504,587
144,53,601
761,617,376
555,767,755
632,276,675
109,796,504
181,396,471
684,625,449
450,55,499
410,583,261
20,464,140
3,371,439
757,249,124
175,179,116
83,620,761
450,635,14
211,9,413
324,583,191
464,426,754
255,568,520
377,414,335
521,463,569
682,58,662
420,477,635
237,714,58
37,115,638
400,529,195
244,142,675
34,514,35
228,64,273
32,3,189
227,693,183
140,114,44
250,198,218
506,576,534
673,337,610
215,2,673
145,597,42
9,497,628
541,31,339
100,561,664
550,713,55
243,296,264
408,305,217
145,742,446
346,749,76
390,40,394
172,218,136
798,142,1191
792,87,218
158,955,307
840,1191,131
660,1167,1075
283,1143,1134
508,717,1096
188,515,461
623,791,1222
1022,694,787
960,726,187
1210,393,900
494,966,756
624,883,276
337,1005,785
229,1153,782
1181,836,128
43,1034,921
385,111,740
382,693,212
1091,724,694
743,857,526
595,36,326
356,1073,433
591,260,169
242,814,697
586,1107,149
172,625,399
167,14,634
383,752,554
785,221,680
1143,542,455
500,266,972
850,146,817
1170,374,558
644,353,1042
598,1037,1134
835,857,940
695,49,960
1047,859,178
240,829,352
537,850,877
124,496,398
971,101,999
1225,832,78
73,870,940
554,353,1045
720,467,954
551,604,469
190,356,1039
1025,1086,370
437,956,1151
624,511,878
504,940,195
415,404,564
533,628,447
997,939,43
424,450,202
1000,222,124
163,406,711
189,564,177
1185,554,534
819,216,290
1107,786,909
577,548,370
1209,1146,786
35,477,102
1162,1043,1149
733,103,232
384,627,827
789,114,1069
53,16,650
710,579,652
1194,809,34
331,179,63
824,1050,831
588,591,832
817,624,30
22,164,25
465,555,280
490,52,459
895,957,438
172,1042,872
660,573,89
983,325,294
1130,1003,420
853,234,676
675,704,520
1184,1026,251
511,751,1074
1003,723,477
803,863,294
1065,1194,311
669,655,364
1196,559,135
307,586,308
1150,1174,317
426,177,189
792,1165,264
334,493,232
48,178,938
367,245,1185
369,66,498
1151,501,67
1010,651,24
300,616,399
1167,131,407
42,759,309
466,668,69
821,655,626
1011,233,1073
309,852,786
857,105,979
16,1210,735
505,488,1081
858,1221,1217
177,737,1206
706,106,620
865,404,320
1047,1148,1001
822,529,1145
452,584,1103
87,337,1147
1177,1047,398
1123,119,1026
114,400,29
834,72,1204
681,1190,1179
1204,1138,1127
424,765,312
1067,974,450
505,770,908
141,75,378
1094,1082,27
120,348,357
531,468,850
186,1165,1222
174,879,235
151,536,115
161,335,865
539,536,98
251,1220,958
551,413,671
295,145,929
166,35,889
365,828,276
973,898,615
1223,970,1201
381,1147,79
1180,188,50
1007,396,54
327,282,599
1046,908,119
211,271,1065
972,1212,271
574,20,170
48,66,973
901,831,889
1140,593,655
931,192,913
808,607,271
1129,791,1203
805,655,767
955,1085,74
271,943,1019
109,933,850
718,928,525
1112,861,640
734,1184,1018
834,495,512
138,82,655
760,1045,606
322,777,1193
360,437,279
100,811,794
928,588,1004
548,1148,202
804,338,1157
382,869,291
59,159,708
561,395,18
965,523,576
122,529,833
1113,960,801
571,508,613
794,658,1052
1169,229,586
725,497,1108
752,709,128
736,1218,509
985,831,587
166,380,822
1028,430,572
314,924,433
479,164,659
1231,1077,745
224,949,331
1080,671,1059
15,227,178
1175,28,96
300,1180,662
385,906,573
344,1179,575
862,250,1041
1100,835,235
545,1077,775
1116,1111,1061
955,163,216
118,126,18
257,15,71
858,1055,362
1229,1153,609
323,38,711
301,1217,977
247,823,513
899,224,499
784,441,914
682,63,711
875,172,547
279,1163,875
712,719,125
1132,529,537
302,421,1221
1064,892,216
339,292,12
376,31,380
51,414,957
980,1209,572
689,312,1089
550,879,941
1222,952,1220
523,556,500
624,1130,804
934,916,825
85,691,400
451,781,1209
979,1164,1205
1166,242,1104
432,248,1232
1049,702,511
310,211,280
52,801,56
29,550,691
427,1120,262
299,287,868
47,1178,700
929,107,219
887,997,957
228,1176,712
945,1099,293
